Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
GW13,6/10/2020,5.8,1.2,6.0,2,4,7,160,170,7.83,206.0,0.2,510.0,1.3,2.0,1.6,0.037,4.6,2.3124999999999996
GW13,6/10/2020,9.4,4.8,9.6,4,7,40,130,180,7.83,206.0,0.2,510.0,1.3,2.0,1.6,0.037,4.6000000000000005,2.3124999999999996
GW14,2/03/2021,1.03,0.96,1.03,1,1,1,1,4,7.95,120.0,0.1,315.0,0.78,4.0,1.8,0.051,0.07000000000000006,2.833333333333333
GW14,2/03/2021,1.92,1.64,1.92,2,2,2,2,8,7.95,120.0,0.1,315.0,0.78,4.0,1.8,0.051,0.28,2.833333333333333
GW14,2/03/2021,3.9,3.5,3.9,3,6,12,89,110,7.95,120.0,0.1,315.0,0.78,4.0,1.8,0.051,0.3999999999999999,2.833333333333333
GW14,2/03/2021,5.9,5.1,5.9,4,11,45,140,200,7.95,120.0,0.1,315.0,0.78,4.0,1.8,0.051,0.8000000000000007,2.833333333333333
GW14,2/03/2021,9.6,7.8,9.6,7,25,75,94,200,7.95,120.0,0.1,315.0,0.78,4.0,1.8,0.051,1.7999999999999998,2.833333333333333
GW15,22/09/2020,0.92,0.06,0.96,1,1,1,1,4,8.04,122.0,0.2,285.0,0.78,4.0,1.8,0.051,0.8600000000000001,2.833333333333333
GW15,22/09/2020,1.76,0.08,1.79,1,1,1,1,4,8.04,122.0,0.2,285.0,0.78,4.0,1.8,0.051,1.68,2.833333333333333
GW15,22/09/2020,3.8,0.38,4.0,1,5,6,27,38,8.04,122.0,0.2,285.0,0.78,4.0,1.8,0.051,3.42,2.833333333333333
GW15,22/09/2020,5.8,1.78,5.8,1,10,22,130,160,8.04,122.0,0.2,285.0,0.78,4.0,1.8,0.051,4.02,2.833333333333333
GW15,22/09/2020,9.2,5.3,10.0,2,14,65,90,170,8.04,122.0,0.2,285.0,0.78,4.0,1.8,0.051,3.8999999999999995,2.833333333333333
GW16,22/09/2020,0.92,0.09,0.96,1,1,1,1,4,8.11,34.0,0.2,34.0,0.12,1.0,1.5,0.034,0.8300000000000001,2.2666666666666666
GW16,22/09/2020,1.76,0.07,1.79,1,1,1,1,4,8.11,34.0,0.2,34.0,0.12,1.0,1.5,0.034,1.69,2.2666666666666666
GW16,22/09/2020,3.8,0.76,4.0,5,14,15,11,45,8.11,34.0,0.2,34.0,0.12,1.0,1.5,0.034,3.04,2.2666666666666666
GW16,22/09/2020,5.8,2.3,5.8,12,17,14,5,48,8.11,34.0,0.2,34.0,0.12,1.0,1.5,0.034,3.5,2.2666666666666666
GW16,22/09/2020,9.2,6.0,10.0,22,27,16,5,70,8.11,34.0,0.2,34.0,0.12,1.0,1.5,0.034,3.1999999999999993,2.2666666666666666
GW17,4/07/2019,1.11,0.03,1.14,4,7,9,4,24,6.54,58.0,8.7,135.0,0.34,55.0,3.4,0.21,1.08,6.176470588235294
GW17,4/07/2019,1.89,0.55,2.02,4,7,8,6,25,6.54,58.0,8.7,135.0,0.34,55.0,3.4,0.21,1.3399999999999999,6.176470588235294
GW17,4/07/2019,5.0,1.38,4.8,15,34,47,17,110,6.54,58.0,8.7,135.0,0.34,55.0,3.4,0.21,3.62,6.176470588235294
GW17,4/07/2019,6.1,3.6,7.2,50,80,73,14,220,6.54,58.0,8.7,135.0,0.34,55.0,3.4,0.21,2.4999999999999996,6.176470588235294
GW17,4/07/2019,12.0,6.7,11.8,73,93,68,15,250,6.54,58.0,8.7,135.0,0.34,55.0,3.4,0.21,5.3,6.176470588235294
GW18,4/07/2019,1.11,0.11,1.14,3,1,1,1,4,6.6,56.0,2.4,115.0,0.34,31.0,3.8,0.23,1.0,6.052631578947369
GW18,4/07/2019,1.89,0.86,2.02,6,6,4,1,16,6.6,56.0,2.4,115.0,0.34,31.0,3.8,0.23,1.0299999999999998,6.052631578947369
GW18,4/07/2019,5.0,1.24,4.8,21,32,33,8,94,6.6,56.0,2.4,115.0,0.34,31.0,3.8,0.23,3.76,6.052631578947369
GW18,4/07/2019,6.1,0.55,7.2,48,66,53,8,180,6.6,56.0,2.4,115.0,0.34,31.0,3.8,0.23,5.55,6.052631578947369
GW18,4/07/2019,12.0,7.1,11.8,130,120,70,6,330,6.6,56.0,2.4,115.0,0.34,31.0,3.8,0.23,4.9,6.052631578947369
GW19,4/07/2019,1.11,0.24,1.14,4,1,1,1,4,6.89,35.0,0.8,50.0,0.18,31.0,4.4,0.21,0.8700000000000001,4.7727272727272725
GW19,4/07/2019,1.89,0.83,2.02,13,4,1,1,17,6.89,35.0,0.8,50.0,0.18,31.0,4.4,0.21,1.06,4.7727272727272725
GW19,4/07/2019,5.0,1.05,4.8,44,25,10,1,79,6.89,35.0,0.8,50.0,0.18,31.0,4.4,0.21,3.95,4.7727272727272725
GW19,4/07/2019,6.1,2.9,7.2,120,58,19,1,200,6.89,35.0,0.8,50.0,0.18,31.0,4.4,0.21,3.1999999999999997,4.7727272727272725
GW19,4/07/2019,12.0,7.2,11.8,220,90,23,1,330,6.89,35.0,0.8,50.0,0.18,31.0,4.4,0.21,4.8,4.7727272727272725
GW20,1/07/2021,1.05,0.0,1.08,1,1,1,1,4,6.87,196.0,27.0,470.0,1.5,3.0,1.7,0.039,1.05,2.2941176470588234
GW20,1/07/2021,1.88,0.25,1.81,1,1,1,4,6,6.87,196.0,27.0,470.0,1.5,3.0,1.7,0.039,1.63,2.2941176470588234
GW20,1/07/2021,3.8,1.5,3.9,4,3,3,25,35,6.87,196.0,27.0,470.0,1.5,3.0,1.7,0.039,2.3,2.2941176470588234
GW20,1/07/2021,4.9,0.7,5.8,2,5,8,77,92,6.87,196.0,27.0,470.0,1.5,3.0,1.7,0.039,4.2,2.2941176470588234
GW20,1/07/2021,8.8,4.4,9.2,3,12,48,110,170,6.87,196.0,27.0,470.0,1.5,3.0,1.7,0.039,4.4,2.2941176470588234
GW21,1/07/2021,1.05,0.14,1.08,1,1,1,1,4,6.69,72.0,37.0,160.0,0.48,9.0,1.6,0.04,0.91,2.5
GW21,1/07/2021,1.88,0.24,1.81,1,3,4,8,16,6.69,72.0,37.0,160.0,0.48,9.0,1.6,0.04,1.64,2.5
GW21,1/07/2021,3.8,0.69,3.9,3,9,31,51,94,6.69,72.0,37.0,160.0,0.48,9.0,1.6,0.04,3.11,2.5
GW21,1/07/2021,4.9,2.7,5.8,7,26,59,42,130,6.69,72.0,37.0,160.0,0.48,9.0,1.6,0.04,2.2,2.5
GW21,1/07/2021,8.8,6.2,9.2,14,42,60,25,140,6.69,72.0,37.0,160.0,0.48,9.0,1.6,0.04,2.6000000000000005,2.5
GW22,1/07/2021,1.05,0.18,1.08,2,2,1,1,4,6.89,38.0,12.0,55.0,0.16,7.0,2.2,0.053,0.8700000000000001,2.409090909090909
GW22,1/07/2021,1.88,0.22,1.81,3,4,2,1,9,6.89,38.0,12.0,55.0,0.16,7.0,2.2,0.053,1.66,2.409090909090909
GW22,1/07/2021,3.8,1.18,3.9,21,33,33,6,93,6.89,38.0,12.0,55.0,0.16,7.0,2.2,0.053,2.62,2.409090909090909
GW22,1/07/2021,4.9,2.7,5.8,32,44,36,4,120,6.89,38.0,12.0,55.0,0.16,7.0,2.2,0.053,2.2,2.409090909090909
GW22,1/07/2021,8.8,6.8,9.2,46,49,38,3,140,6.89,38.0,12.0,55.0,0.16,7.0,2.2,0.053,2.000000000000001,2.409090909090909
GW23,30/10/2019,0.96,0.79,0.94,1,1,1,1,4,7.83,235.0,1.1,625.0,1.8,3.0,1.5,0.04,0.16999999999999993,2.666666666666667
GW23,30/10/2019,2.0,1.61,2.0,1,1,3,7,11,7.83,235.0,1.1,625.0,1.8,3.0,1.5,0.04,0.3899999999999999,2.666666666666667
GW23,30/10/2019,4.2,0.7,4.1,1,3,8,55,66,7.83,235.0,1.1,625.0,1.8,3.0,1.5,0.04,3.5,2.666666666666667
GW23,30/10/2019,6.3,2.6,6.1,1,5,19,160,180,7.83,235.0,1.1,625.0,1.8,3.0,1.5,0.04,3.6999999999999997,2.666666666666667
GW23,30/10/2019,10.2,6.5,10.0,1,10,45,120,180,7.83,235.0,1.1,625.0,1.8,3.0,1.5,0.04,3.6999999999999993,2.666666666666667
GW24,2/07/2020,0.99,0.38,1.02,1,1,1,1,4,6.91,198.0,18.0,465.0,1.2,120.0,2.4,0.067,0.61,2.791666666666667
GW24,2/07/2020,1.85,0.15,1.89,2,1,2,3,7,6.91,198.0,18.0,465.0,1.2,120.0,2.4,0.067,1.7000000000000002,2.791666666666667
GW24,2/07/2020,4.2,2.3,4.3,3,2,5,24,34,6.91,198.0,18.0,465.0,1.2,120.0,2.4,0.067,1.9000000000000004,2.791666666666667
GW24,2/07/2020,5.7,0.37,6.0,6,4,23,89,120,6.91,198.0,18.0,465.0,1.2,120.0,2.4,0.067,5.33,2.791666666666667
GW24,2/07/2020,9.6,3.8,10.2,4,11,79,230,320,6.91,198.0,18.0,465.0,1.2,120.0,2.4,0.067,5.8,2.791666666666667
GW25,2/07/2020,0.99,0.17,1.02,3,1,1,1,4,6.64,73.0,17.0,160.0,0.42,110.0,3.0,0.24,0.82,8.0
GW25,2/07/2020,1.85,0.88,1.89,4,2,2,2,10,6.64,73.0,17.0,160.0,0.42,110.0,3.0,0.24,0.9700000000000001,8.0
GW25,2/07/2020,4.2,0.56,4.3,9,12,33,26,80,6.64,73.0,17.0,160.0,0.42,110.0,3.0,0.24,3.64,8.0
GW25,2/07/2020,5.7,1.66,6.0,26,67,92,33,220,6.64,73.0,17.0,160.0,0.42,110.0,3.0,0.24,4.04,8.0
