Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
SW8,20/08/2019,6.2,6.4,6.2,10,16,17,17,60,7.74,23.0,0.4,37.0,0.09,2.0,0.5,0.006,-0.20000000000000018,1.2
SW8,20/08/2019,10.4,10.0,10.4,13,18,16,17,64,7.74,23.0,0.4,37.0,0.09,2.0,0.5,0.006,0.40000000000000036,1.2
SW9,10/12/2019,0.93,0.77,0.93,1,7,23,37,67,7.74,26.0,0.51,55.0,0.12,1.0,1.4,0.012,0.16000000000000003,0.8571428571428572
SW9,10/12/2019,2.0,1.69,2.0,4,20,38,32,94,7.74,26.0,0.51,55.0,0.12,1.0,1.4,0.012,0.31000000000000005,0.8571428571428572
SW9,10/12/2019,4.1,3.6,4.1,10,27,32,21,90,7.74,26.0,0.51,55.0,0.12,1.0,1.4,0.012,0.49999999999999956,0.8571428571428572
SW9,10/12/2019,6.1,5.9,6.1,15,33,30,17,95,7.74,26.0,0.51,55.0,0.12,1.0,1.4,0.012,0.1999999999999993,0.8571428571428572
SW9,10/12/2019,11.2,10.0,11.2,19,42,28,16,100,7.74,26.0,0.51,55.0,0.12,1.0,1.4,0.012,1.1999999999999993,0.8571428571428572
SW10,25/11/2020,0.98,0.88,1.01,1,4,11,35,50,7.24,27.0,0.7,55.0,0.12,1.0,1.4,0.011,0.09999999999999998,0.7857142857142858
SW10,25/11/2020,1.99,1.67,2.02,2,10,25,34,71,7.24,27.0,0.7,55.0,0.12,1.0,1.4,0.011,0.32000000000000006,0.7857142857142858
SW10,25/11/2020,3.7,3.8,3.9,5,14,26,27,72,7.24,27.0,0.7,55.0,0.12,1.0,1.4,0.011,-0.09999999999999964,0.7857142857142858
SW10,25/11/2020,5.9,5.3,6.0,10,19,29,28,86,7.24,27.0,0.7,55.0,0.12,1.0,1.4,0.011,0.6000000000000005,0.7857142857142858
SW10,25/11/2020,9.6,8.4,9.8,15,22,26,24,87,7.24,27.0,0.7,55.0,0.12,1.0,1.4,0.011,1.1999999999999993,0.7857142857142858
SW11,3/06/2020,1.15,0.28,1.15,3,3,8,20,34,7.12,28.0,0.5,65.0,0.26,2.0,4.2,0.032,0.8699999999999999,0.7619047619047619
SW11,3/06/2020,1.94,1.21,1.94,5,10,31,25,71,7.12,28.0,0.5,65.0,0.26,2.0,4.2,0.032,0.73,0.7619047619047619
SW11,3/06/2020,3.9,3.1,3.9,12,29,46,20,110,7.12,28.0,0.5,65.0,0.26,2.0,4.2,0.032,0.7999999999999998,0.7619047619047619
SW11,3/06/2020,6.3,4.9,6.3,21,42,47,17,130,7.12,28.0,0.5,65.0,0.26,2.0,4.2,0.032,1.3999999999999995,0.7619047619047619
SW11,3/06/2020,9.8,8.8,9.8,34,58,51,17,160,7.12,28.0,0.5,65.0,0.26,2.0,4.2,0.032,1.0,0.7619047619047619
SW12,2/06/2021,0.96,0.4,0.99,2,4,10,24,40,7.18,28.0,0.7,65.0,0.24,2.0,3.8,0.029,0.5599999999999999,0.7631578947368421
SW12,2/06/2021,1.89,1.21,1.9,4,11,38,30,83,7.18,28.0,0.7,65.0,0.24,2.0,3.8,0.029,0.6799999999999999,0.7631578947368421
SW12,2/06/2021,3.9,3.0,3.9,13,41,60,26,140,7.18,28.0,0.7,65.0,0.24,2.0,3.8,0.029,0.8999999999999999,0.7631578947368421
SW12,2/06/2021,5.5,4.8,5.6,17,45,57,22,140,7.18,28.0,0.7,65.0,0.24,2.0,3.8,0.029,0.7000000000000002,0.7631578947368421
SW12,2/06/2021,9.0,8.4,9.2,29,58,61,20,170,7.18,28.0,0.7,65.0,0.24,2.0,3.8,0.029,0.5999999999999996,0.7631578947368421
SW13,26/02/2020,0.92,0.6,0.92,1,7,23,33,63,6.64,24.0,0.3,55.0,0.2,1.0,1.6,0.019,0.32000000000000006,1.1874999999999998
SW13,26/02/2020,1.69,1.35,1.69,8,25,48,30,110,6.64,24.0,0.3,55.0,0.2,1.0,1.6,0.019,0.33999999999999986,1.1874999999999998
SW13,26/02/2020,3.7,3.3,3.7,14,34,48,21,120,6.64,24.0,0.3,55.0,0.2,1.0,1.6,0.019,0.40000000000000036,1.1874999999999998
SW13,26/02/2020,5.6,5.1,5.6,21,38,45,16,120,6.64,24.0,0.3,55.0,0.2,1.0,1.6,0.019,0.5,1.1874999999999998
SW13,26/02/2020,9.4,8.8,9.4,34,49,49,17,150,6.64,24.0,0.3,55.0,0.2,1.0,1.6,0.019,0.5999999999999996,1.1874999999999998
SW14,17/12/2019,0.93,0.69,0.93,1,1,7,32,40,7.76,72.0,0.2,170.0,0.34,1.0,1.2,0.01,0.2400000000000001,0.8333333333333334
SW14,17/12/2019,1.77,1.42,1.77,1,7,26,53,86,7.76,72.0,0.2,170.0,0.34,1.0,1.2,0.01,0.3500000000000001,0.8333333333333334
SW14,17/12/2019,3.7,3.9,3.7,8,16,35,31,90,7.76,72.0,0.2,170.0,0.34,1.0,1.2,0.01,-0.19999999999999973,0.8333333333333334
SW14,17/12/2019,5.6,5.7,5.6,11,21,35,23,90,7.76,72.0,0.2,170.0,0.34,1.0,1.2,0.01,-0.10000000000000053,0.8333333333333334
SW14,17/12/2019,9.8,9.8,9.8,18,30,38,22,110,7.76,72.0,0.2,170.0,0.34,1.0,1.2,0.01,0.0,0.8333333333333334
SW15,3/12/2020,0.91,0.7,0.96,1,3,6,77,86,8.16,77.0,0.4,175.0,0.36,1.0,1.6,0.015,0.21000000000000008,0.9375
SW15,3/12/2020,1.87,1.43,1.89,1,5,29,110,140,8.16,77.0,0.4,175.0,0.36,1.0,1.6,0.015,0.44000000000000017,0.9375
SW15,3/12/2020,4.0,3.3,4.1,1,12,58,79,150,8.16,77.0,0.4,175.0,0.36,1.0,1.6,0.015,0.7000000000000002,0.9375
SW15,3/12/2020,5.6,4.9,5.8,1,17,56,49,120,8.16,77.0,0.4,175.0,0.36,1.0,1.6,0.015,0.6999999999999993,0.9375
SW15,3/12/2020,9.0,8.8,10.0,8,34,73,43,160,8.16,77.0,0.4,175.0,0.36,1.0,1.6,0.015,0.1999999999999993,0.9375
SW16,13/05/2020,0.88,0.84,0.95,1,2,10,42,54,7.84,72.0,1.0,170.0,0.32,1.0,1.5,0.016,0.040000000000000036,1.0666666666666667
SW16,13/05/2020,1.75,1.78,1.9,3,6,24,41,74,7.84,72.0,1.0,170.0,0.32,1.0,1.5,0.016,-0.030000000000000027,1.0666666666666667
SW16,13/05/2020,3.4,3.6,3.8,5,13,30,26,74,7.84,72.0,1.0,170.0,0.32,1.0,1.5,0.016,-0.20000000000000018,1.0666666666666667
SW16,13/05/2020,5.3,5.2,5.5,9,21,39,27,96,7.84,72.0,1.0,170.0,0.32,1.0,1.5,0.016,0.09999999999999964,1.0666666666666667
SW16,13/05/2020,9.4,9.4,9.6,14,28,39,19,100,7.84,72.0,1.0,170.0,0.32,1.0,1.5,0.016,0.0,1.0666666666666667
