Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA
SW5,6/08/2019,2.1,1.14,2.3,27,42,46,11,130,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,4.5,3.4,4.6,46,51,46,10,150,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,6.9,5.6,7.1,59,56,48,9,170,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,11.4,10.2,11.6,110,74,57,11,250,6.83,30,2.5,70,0.18,7,1.9,0.049
GW9,15/05/2019,1.06,0.08,1.07,1,1,1,1,4,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,1.88,0.54,1.92,1,1,2,3,6,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,4.6,2.3,4.7,2,3,4,16,25,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,6.2,1.04,6.5,2,4,12,150,170,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,10.6,5,11,4,11,44,130,190,7.93,214,0.2,555,1.5,4,1.7,0.041
GW10,11/05/2021,1.03,0.79,9.8,1,1,1,1,1,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,1.83,0.9,0.9,1,1,1,3,3,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,4.2,2.7,2.1,1,1,1,12,14,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,5.9,1.05,3.9,2,2,4,100,110,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,9.6,4.2,6.4,3,4,51,160,220,8,228,0.2,555,1.6,2,1.6,0.044
GW11,13/06/2019,1.09,0.13,1.09,1,1,1,1,2,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,2,0.1,2,1,1,2,6,9,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,4.5,0.25,4.5,1,2,5,28,36,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,6.7,2.2,6.7,1,3,14,96,110,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,10.4,6.2,10.4,2,9,38,74,120,7.91,236,0.3,635,1.8,3,1.4,0.034
GW12,10/10/2019,0.96,0.98,0.96,1,1,2,1,3,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,1.9,1.73,1.9,1,2,3,7,12,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,4.1,0.45,4.1,2,3,8,42,55,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,6.1,2.3,6.1,3,6,25,150,180,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,10.2,4.1,10.2,6,15,50,90,160,7.98,205,0.4,495,1.5,3,1.5,0.036
GW13,6/10/2020,0.87,0.53,0.92,1,1,1,1,1,7.83,206,0.2,510,1.3,2,1.6,0.037
GW13,6/10/2020,1.7,0.2,1.9,1,2,2,2,6,7.83,206,0.2,510,1.3,2,1.6,0.037
GW13,6/10/2020,3.7,2.3,3.8,2,3,3,14,22,7.83,206,0.2,510,1.3,2,1.6,0.037
GW13,6/10/2020,5.8,1.2,6,2,4,7,160,170,7.83,206,0.2,510,1.3,2,1.6,0.037
GW13,6/10/2020,9.4,4.8,9.6,4,7,40,130,180,7.83,206,0.2,510,1.3,2,1.6,0.037
GW14,2/03/2021,1.03,0.96,1.03,1,1,1,1,4,7.95,120,0.1,315,0.78,4,1.8,0.051
GW14,2/03/2021,1.92,1.64,1.92,2,2,2,2,8,7.95,120,0.1,315,0.78,4,1.8,0.051
GW14,2/03/2021,3.9,3.5,3.9,3,6,12,89,110,7.95,120,0.1,315,0.78,4,1.8,0.051
GW14,2/03/2021,5.9,5.1,5.9,4,11,45,140,200,7.95,120,0.1,315,0.78,4,1.8,0.051
GW14,2/03/2021,9.6,7.8,9.6,7,25,75,94,200,7.95,120,0.1,315,0.78,4,1.8,0.051
GW15,22/09/2020,0.92,0.06,0.96,1,1,1,1,4,8.04,122,0.2,285,0.78,4,1.8,0.051
GW15,22/09/2020,1.76,0.08,1.79,1,1,1,1,4,8.04,122,0.2,285,0.78,4,1.8,0.051
GW15,22/09/2020,3.8,0.38,4,1,5,6,27,38,8.04,122,0.2,285,0.78,4,1.8,0.051
GW15,22/09/2020,5.8,1.78,5.8,1,10,22,130,160,8.04,122,0.2,285,0.78,4,1.8,0.051
GW15,22/09/2020,9.2,5.3,10,2,14,65,90,170,8.04,122,0.2,285,0.78,4,1.8,0.051
GW16,22/09/2020,0.92,0.09,0.96,1,1,1,1,4,8.11,34,0.2,34,0.12,1,1.5,0.034
GW16,22/09/2020,1.76,0.07,1.79,1,1,1,1,4,8.11,34,0.2,34,0.12,1,1.5,0.034
GW16,22/09/2020,3.8,0.76,4,5,14,15,11,45,8.11,34,0.2,34,0.12,1,1.5,0.034
GW16,22/09/2020,5.8,2.3,5.8,12,17,14,5,48,8.11,34,0.2,34,0.12,1,1.5,0.034
GW16,22/09/2020,9.2,6,10,22,27,16,5,70,8.11,34,0.2,34,0.12,1,1.5,0.034
SW6,6/02/2020,0.96,0.67,0.96,1,4,14,33,51,7.66,29,0.7,65,0.24,2,2.2,0.019
SW6,6/02/2020,1.78,1.55,1.78,2,12,39,52,100,7.66,29,0.7,65,0.24,2,2.2,0.019
SW6,6/02/2020,4.1,3.9,4.1,8,29,49,26,110,7.66,29,0.7,65,0.24,2,2.2,0.019
SW6,6/02/2020,6,5.8,6,15,37,50,21,120,7.66,29,0.7,65,0.24,2,2.2,0.019
SW6,6/02/2020,9.8,10.2,9.8,19,41,46,16,120,7.66,29,0.7,65,0.24,2,2.2,0.019
SW7,3/02/2021,0.98,0.75,0.98,1,3,9,22,34,7.43,32,0.2,70,0.28,1,2.2,0.019
SW7,3/02/2021,1.02,1.5,1.02,1,12,38,51,100,7.43,32,0.2,70,0.28,1,2.2,0.019
SW7,3/02/2021,3.9,3.8,3.9,6,22,40,24,92,7.43,32,0.2,70,0.28,1,2.2,0.019
SW7,3/02/2021,5.8,5.6,5.8,11,39,55,25,130,7.43,32,0.2,70,0.28,1,2.2,0.019
SW7,3/02/2021,9.8,9.2,9.8,22,52,57,21,150,7.43,32,0.2,70,0.28,1,2.2,0.019
SW8,20/08/2019,1.02,0.92,1.02,3,9,19,25,56,7.74,23,0.4,37,0.09,2,0.5,0.006
SW8,20/08/2019,1.82,1.79,1.82,5,13,19,27,64,7.74,23,0.4,37,0.09,2,0.5,0.006
SW8,20/08/2019,4,3.9,4,7,15,17,19,58,7.74,23,0.4,37,0.09,2,0.5,0.006
SW8,20/08/2019,6.2,6.4,6.2,10,16,17,17,60,7.74,23,0.4,37,0.09,2,0.5,0.006
SW8,20/08/2019,10.4,10,10.4,13,18,16,17,64,7.74,23,0.4,37,0.09,2,0.5,0.006
SW9,10/12/2019,0.93,0.77,0.93,1,7,23,37,67,7.74,26,0.51,55,0.12,1,1.4,0.012
SW9,10/12/2019,2,1.69,2,4,20,38,32,94,7.74,26,0.51,55,0.12,1,1.4,0.012
SW9,10/12/2019,4.1,3.6,4.1,10,27,32,21,90,7.74,26,0.51,55,0.12,1,1.4,0.012
SW9,10/12/2019,6.1,5.9,6.1,15,33,30,17,95,7.74,26,0.51,55,0.12,1,1.4,0.012
SW9,10/12/2019,11.2,10,11.2,19,42,28,16,100,7.74,26,0.51,55,0.12,1,1.4,0.012
SW10,25/11/2020,0.98,0.88,1.01,1,4,11,35,50,7.24,27,0.7,55,0.12,1,1.4,0.011
SW10,25/11/2020,1.99,1.67,2.02,2,10,25,34,71,7.24,27,0.7,55,0.12,1,1.4,0.011
SW10,25/11/2020,3.7,3.8,3.9,5,14,26,27,72,7.24,27,0.7,55,0.12,1,1.4,0.011
SW10,25/11/2020,5.9,5.3,6,10,19,29,28,86,7.24,27,0.7,55,0.12,1,1.4,0.011
SW10,25/11/2020,9.6,8.4,9.8,15,22,26,24,87,7.24,27,0.7,55,0.12,1,1.4,0.011
SW11,3/06/2020,1.15,0.28,1.15,3,3,8,20,34,7.12,28,0.5,65,0.26,2,4.2,0.032
SW11,3/06/2020,1.94,1.21,1.94,5,10,31,25,71,7.12,28,0.5,65,0.26,2,4.2,0.032
SW11,3/06/2020,3.9,3.1,3.9,12,29,46,20,110,7.12,28,0.5,65,0.26,2,4.2,0.032
SW11,3/06/2020,6.3,4.9,6.3,21,42,47,17,130,7.12,28,0.5,65,0.26,2,4.2,0.032
SW11,3/06/2020,9.8,8.8,9.8,34,58,51,17,160,7.12,28,0.5,65,0.26,2,4.2,0.032
SW12,2/06/2021,0.96,0.4,0.99,2,4,10,24,40,7.18,28,0.7,65,0.24,2,3.8,0.029
SW12,2/06/2021,1.89,1.21,1.9,4,11,38,30,83,7.18,28,0.7,65,0.24,2,3.8,0.029
SW12,2/06/2021,3.9,3,3.9,13,41,60,26,140,7.18,28,0.7,65,0.24,2,3.8,0.029
